Molecule,Run,Config,Criterion,Score
Arginine,5,E,Chemical Feasibility,9
Arginine,5,E,Pathway Coherence,9
Arginine,5,E,Environmental Consistency,9
Arginine,5,E,Mechanistic Detail,10
Arginine,5,E,Network Completeness,8
Arginine,5,E,Prebiotic Plausibility,9
Arginine,5,E,Novelty of Reactions,7
Arginine,5,E,Total,61
Arginine,5,F,Chemical Feasibility,6
Arginine,5,F,Pathway Coherence,9
Arginine,5,F,Environmental Consistency,7
Arginine,5,F,Mechanistic Detail,8
Arginine,5,F,Network Completeness,8
Arginine,5,F,Prebiotic Plausibility,6
Arginine,5,F,Novelty of Reactions,10
Arginine,5,F,Total,54
Glutamate,1,A,Chemical Feasibility,9
Glutamate,1,A,Pathway Coherence,8
Glutamate,1,A,Environmental Consistency,9
Glutamate,1,A,Mechanistic Detail,8
Glutamate,1,A,Network Completeness,9
Glutamate,1,A,Prebiotic Plausibility,9
Glutamate,1,A,Novelty of Reactions,9
Glutamate,1,A,Total,61
Glutamate,1,B,Chemical Feasibility,8
Glutamate,1,B,Pathway Coherence,7
Glutamate,1,B,Environmental Consistency,8
Glutamate,1,B,Mechanistic Detail,7
Glutamate,1,B,Network Completeness,7
Glutamate,1,B,Prebiotic Plausibility,8
Glutamate,1,B,Novelty of Reactions,8
Glutamate,1,B,Total,53
Glutamate,1,C,Chemical Feasibility,10
Glutamate,1,C,Pathway Coherence,9
Glutamate,1,C,Environmental Consistency,9
Glutamate,1,C,Mechanistic Detail,10
Glutamate,1,C,Network Completeness,9
Glutamate,1,C,Prebiotic Plausibility,9
Glutamate,1,C,Novelty of Reactions,9
Glutamate,1,C,Total,65
Glutamate,1,D,Chemical Feasibility,8
Glutamate,1,D,Pathway Coherence,8
Glutamate,1,D,Environmental Consistency,9
Glutamate,1,D,Mechanistic Detail,7
Glutamate,1,D,Network Completeness,9
Glutamate,1,D,Prebiotic Plausibility,9
Glutamate,1,D,Novelty of Reactions,9
Glutamate,1,D,Total,59
Glutamate,1,E,Chemical Feasibility,9
Glutamate,1,E,Pathway Coherence,8
Glutamate,1,E,Environmental Consistency,9
Glutamate,1,E,Mechanistic Detail,9
Glutamate,1,E,Network Completeness,8
Glutamate,1,E,Prebiotic Plausibility,10
Glutamate,1,E,Novelty of Reactions,9
Glutamate,1,E,Total,62
Glutamate,1,F,Chemical Feasibility,4
Glutamate,1,F,Pathway Coherence,6
Glutamate,1,F,Environmental Consistency,8
Glutamate,1,F,Mechanistic Detail,5
Glutamate,1,F,Network Completeness,7
Glutamate,1,F,Prebiotic Plausibility,4
Glutamate,1,F,Novelty of Reactions,4
Glutamate,1,F,Total,38
Glutamate,2,A,Chemical Feasibility,9
Glutamate,2,A,Pathway Coherence,9
Glutamate,2,A,Environmental Consistency,9
Glutamate,2,A,Mechanistic Detail,8
Glutamate,2,A,Network Completeness,9
Glutamate,2,A,Prebiotic Plausibility,9
Glutamate,2,A,Novelty of Reactions,8
Glutamate,2,A,Total,61
Glutamate,2,B,Chemical Feasibility,8
Glutamate,2,B,Pathway Coherence,8
Glutamate,2,B,Environmental Consistency,9
Glutamate,2,B,Mechanistic Detail,8
Glutamate,2,B,Network Completeness,7
Glutamate,2,B,Prebiotic Plausibility,8
Glutamate,2,B,Novelty of Reactions,8
Glutamate,2,B,Total,56
Glutamate,2,C,Chemical Feasibility,10
Glutamate,2,C,Pathway Coherence,10
Glutamate,2,C,Environmental Consistency,9
Glutamate,2,C,Mechanistic Detail,9
Glutamate,2,C,Network Completeness,10
Glutamate,2,C,Prebiotic Plausibility,10
Glutamate,2,C,Novelty of Reactions,10
Glutamate,2,C,Total,68
Glutamate,2,D,Chemical Feasibility,8
Glutamate,2,D,Pathway Coherence,8
Glutamate,2,D,Environmental Consistency,8
Glutamate,2,D,Mechanistic Detail,7
Glutamate,2,D,Network Completeness,8
Glutamate,2,D,Prebiotic Plausibility,8
Glutamate,2,D,Novelty of Reactions,8
Glutamate,2,D,Total,55
Glutamate,2,E,Chemical Feasibility,10
Glutamate,2,E,Pathway Coherence,9
Glutamate,2,E,Environmental Consistency,9
Glutamate,2,E,Mechanistic Detail,10
Glutamate,2,E,Network Completeness,9
Glutamate,2,E,Prebiotic Plausibility,10
Glutamate,2,E,Novelty of Reactions,9
Glutamate,2,E,Total,66
Glutamate,2,F,Chemical Feasibility,5
Glutamate,2,F,Pathway Coherence,6
Glutamate,2,F,Environmental Consistency,7
Glutamate,2,F,Mechanistic Detail,5
Glutamate,2,F,Network Completeness,6
Glutamate,2,F,Prebiotic Plausibility,5
Glutamate,2,F,Novelty of Reactions,4
Glutamate,2,F,Total,38
Glutamate,3,A,Chemical Feasibility,9
Glutamate,3,A,Pathway Coherence,9
Glutamate,3,A,Environmental Consistency,9
Glutamate,3,A,Mechanistic Detail,9
Glutamate,3,A,Network Completeness,9
Glutamate,3,A,Prebiotic Plausibility,10
Glutamate,3,A,Novelty of Reactions,8
Glutamate,3,A,Total,63
Glutamate,3,B,Chemical Feasibility,9
Glutamate,3,B,Pathway Coherence,9
Glutamate,3,B,Environmental Consistency,9
Glutamate,3,B,Mechanistic Detail,9
Glutamate,3,B,Network Completeness,9
Glutamate,3,B,Prebiotic Plausibility,9
Glutamate,3,B,Novelty of Reactions,10
Glutamate,3,B,Total,64
Glutamate,3,C,Chemical Feasibility,9
Glutamate,3,C,Pathway Coherence,10
Glutamate,3,C,Environmental Consistency,9
Glutamate,3,C,Mechanistic Detail,10
Glutamate,3,C,Network Completeness,9
Glutamate,3,C,Prebiotic Plausibility,10
Glutamate,3,C,Novelty of Reactions,10
Glutamate,3,C,Total,67
Glutamate,3,D,Chemical Feasibility,8
Glutamate,3,D,Pathway Coherence,8
Glutamate,3,D,Environmental Consistency,8
Glutamate,3,D,Mechanistic Detail,8
Glutamate,3,D,Network Completeness,7
Glutamate,3,D,Prebiotic Plausibility,8
Glutamate,3,D,Novelty of Reactions,8
Glutamate,3,D,Total,55
Glutamate,3,E,Chemical Feasibility,10
Glutamate,3,E,Pathway Coherence,10
Glutamate,3,E,Environmental Consistency,9
Glutamate,3,E,Mechanistic Detail,10
Glutamate,3,E,Network Completeness,9
Glutamate,3,E,Prebiotic Plausibility,9
Glutamate,3,E,Novelty of Reactions,8
Glutamate,3,E,Total,65
Glutamate,3,F,Chemical Feasibility,5
Glutamate,3,F,Pathway Coherence,6
Glutamate,3,F,Environmental Consistency,7
Glutamate,3,F,Mechanistic Detail,6
Glutamate,3,F,Network Completeness,7
Glutamate,3,F,Prebiotic Plausibility,4
Glutamate,3,F,Novelty of Reactions,4
Glutamate,3,F,Total,39
Glutamate,4,A,Chemical Feasibility,8
Glutamate,4,A,Pathway Coherence,8
Glutamate,4,A,Environmental Consistency,8
Glutamate,4,A,Mechanistic Detail,7
Glutamate,4,A,Network Completeness,9
Glutamate,4,A,Prebiotic Plausibility,8
Glutamate,4,A,Novelty of Reactions,7
Glutamate,4,A,Total,55
Glutamate,4,B,Chemical Feasibility,8
Glutamate,4,B,Pathway Coherence,8
Glutamate,4,B,Environmental Consistency,9
Glutamate,4,B,Mechanistic Detail,8
Glutamate,4,B,Network Completeness,7
Glutamate,4,B,Prebiotic Plausibility,9
Glutamate,4,B,Novelty of Reactions,8
Glutamate,4,B,Total,57
Glutamate,4,C,Chemical Feasibility,10
Glutamate,4,C,Pathway Coherence,9
Glutamate,4,C,Environmental Consistency,10
Glutamate,4,C,Mechanistic Detail,10
Glutamate,4,C,Network Completeness,9
Glutamate,4,C,Prebiotic Plausibility,10
Glutamate,4,C,Novelty of Reactions,10
Glutamate,4,C,Total,68
Glutamate,4,D,Chemical Feasibility,8
Glutamate,4,D,Pathway Coherence,9
Glutamate,4,D,Environmental Consistency,9
Glutamate,4,D,Mechanistic Detail,8
Glutamate,4,D,Network Completeness,9
Glutamate,4,D,Prebiotic Plausibility,9
Glutamate,4,D,Novelty of Reactions,8
Glutamate,4,D,Total,60
Glutamate,4,E,Chemical Feasibility,9
Glutamate,4,E,Pathway Coherence,8
Glutamate,4,E,Environmental Consistency,9
Glutamate,4,E,Mechanistic Detail,10
Glutamate,4,E,Network Completeness,8
Glutamate,4,E,Prebiotic Plausibility,9
Glutamate,4,E,Novelty of Reactions,9
Glutamate,4,E,Total,62
Glutamate,4,F,Chemical Feasibility,7
Glutamate,4,F,Pathway Coherence,9
Glutamate,4,F,Environmental Consistency,8
Glutamate,4,F,Mechanistic Detail,9
Glutamate,4,F,Network Completeness,9
Glutamate,4,F,Prebiotic Plausibility,8
Glutamate,4,F,Novelty of Reactions,8
Glutamate,4,F,Total,58
Glutamate,5,A,Chemical Feasibility,9
Glutamate,5,A,Pathway Coherence,9
Glutamate,5,A,Environmental Consistency,9
Glutamate,5,A,Mechanistic Detail,8
Glutamate,5,A,Network Completeness,10
Glutamate,5,A,Prebiotic Plausibility,9
Glutamate,5,A,Novelty of Reactions,7
Glutamate,5,A,Total,61
Glutamate,5,B,Chemical Feasibility,9
Glutamate,5,B,Pathway Coherence,9
Glutamate,5,B,Environmental Consistency,9
Glutamate,5,B,Mechanistic Detail,9
Glutamate,5,B,Network Completeness,9
Glutamate,5,B,Prebiotic Plausibility,9
Glutamate,5,B,Novelty of Reactions,9
Glutamate,5,B,Total,63
Glutamate,5,C,Chemical Feasibility,10
Glutamate,5,C,Pathway Coherence,10
Glutamate,5,C,Environmental Consistency,9
Glutamate,5,C,Mechanistic Detail,10
Glutamate,5,C,Network Completeness,10
Glutamate,5,C,Prebiotic Plausibility,10
Glutamate,5,C,Novelty of Reactions,10
Glutamate,5,C,Total,69
Glutamate,5,D,Chemical Feasibility,7
Glutamate,5,D,Pathway Coherence,8
Glutamate,5,D,Environmental Consistency,8
Glutamate,5,D,Mechanistic Detail,7
Glutamate,5,D,Network Completeness,8
Glutamate,5,D,Prebiotic Plausibility,7
Glutamate,5,D,Novelty of Reactions,7
Glutamate,5,D,Total,52
Glutamate,5,E,Chemical Feasibility,10
Glutamate,5,E,Pathway Coherence,10
Glutamate,5,E,Environmental Consistency,9
Glutamate,5,E,Mechanistic Detail,10
Glutamate,5,E,Network Completeness,9
Glutamate,5,E,Prebiotic Plausibility,10
Glutamate,5,E,Novelty of Reactions,9
Glutamate,5,E,Total,67
Glutamate,5,F,Chemical Feasibility,4
Glutamate,5,F,Pathway Coherence,6
Glutamate,5,F,Environmental Consistency,8
Glutamate,5,F,Mechanistic Detail,6
Glutamate,5,F,Network Completeness,7
Glutamate,5,F,Prebiotic Plausibility,5
Glutamate,5,F,Novelty of Reactions,6
Glutamate,5,F,Total,42
Glycine,1,A,Chemical Feasibility,7
Glycine,1,A,Pathway Coherence,8
Glycine,1,A,Environmental Consistency,8
Glycine,1,A,Mechanistic Detail,8
Glycine,1,A,Network Completeness,8
Glycine,1,A,Prebiotic Plausibility,8
Glycine,1,A,Novelty of Reactions,7
Glycine,1,A,Total,54
Glycine,1,B,Chemical Feasibility,8
Glycine,1,B,Pathway Coherence,7
Glycine,1,B,Environmental Consistency,8
Glycine,1,B,Mechanistic Detail,8
Glycine,1,B,Network Completeness,4
Glycine,1,B,Prebiotic Plausibility,8
Glycine,1,B,Novelty of Reactions,8
Glycine,1,B,Total,51
Glycine,1,C,Chemical Feasibility,8
Glycine,1,C,Pathway Coherence,6
Glycine,1,C,Environmental Consistency,8
Glycine,1,C,Mechanistic Detail,8
Glycine,1,C,Network Completeness,4
Glycine,1,C,Prebiotic Plausibility,7
Glycine,1,C,Novelty of Reactions,8
Glycine,1,C,Total,49
Glycine,1,D,Chemical Feasibility,8
Glycine,1,D,Pathway Coherence,9
Glycine,1,D,Environmental Consistency,9
Glycine,1,D,Mechanistic Detail,9
Glycine,1,D,Network Completeness,9
Glycine,1,D,Prebiotic Plausibility,9
Glycine,1,D,Novelty of Reactions,8
Glycine,1,D,Total,61
Glycine,1,E,Chemical Feasibility,7
Glycine,1,E,Pathway Coherence,4
Glycine,1,E,Environmental Consistency,7
Glycine,1,E,Mechanistic Detail,6
Glycine,1,E,Network Completeness,2
Glycine,1,E,Prebiotic Plausibility,5
Glycine,1,E,Novelty of Reactions,7
Glycine,1,E,Total,38
Glycine,1,F,Chemical Feasibility,4
Glycine,1,F,Pathway Coherence,7
Glycine,1,F,Environmental Consistency,8
Glycine,1,F,Mechanistic Detail,6
Glycine,1,F,Network Completeness,8
Glycine,1,F,Prebiotic Plausibility,7
Glycine,1,F,Novelty of Reactions,7
Glycine,1,F,Total,47
Glycine,2,A,Chemical Feasibility,9
Glycine,2,A,Pathway Coherence,8
Glycine,2,A,Environmental Consistency,9
Glycine,2,A,Mechanistic Detail,9
Glycine,2,A,Network Completeness,9
Glycine,2,A,Prebiotic Plausibility,9
Glycine,2,A,Novelty of Reactions,8
Glycine,2,A,Total,61
Glycine,2,B,Chemical Feasibility,8
Glycine,2,B,Pathway Coherence,8
Glycine,2,B,Environmental Consistency,8
Glycine,2,B,Mechanistic Detail,9
Glycine,2,B,Network Completeness,6
Glycine,2,B,Prebiotic Plausibility,7
Glycine,2,B,Novelty of Reactions,9
Glycine,2,B,Total,55
Glycine,2,C,Chemical Feasibility,7
Glycine,2,C,Pathway Coherence,8
Glycine,2,C,Environmental Consistency,6
Glycine,2,C,Mechanistic Detail,8
Glycine,2,C,Network Completeness,8
Glycine,2,C,Prebiotic Plausibility,7
Glycine,2,C,Novelty of Reactions,9
Glycine,2,C,Total,53
Glycine,2,D,Chemical Feasibility,9
Glycine,2,D,Pathway Coherence,9
Glycine,2,D,Environmental Consistency,9
Glycine,2,D,Mechanistic Detail,10
Glycine,2,D,Network Completeness,9
Glycine,2,D,Prebiotic Plausibility,9
Glycine,2,D,Novelty of Reactions,8
Glycine,2,D,Total,63
Glycine,2,E,Chemical Feasibility,8
Glycine,2,E,Pathway Coherence,5
Glycine,2,E,Environmental Consistency,8
Glycine,2,E,Mechanistic Detail,8
Glycine,2,E,Network Completeness,5
Glycine,2,E,Prebiotic Plausibility,5
Glycine,2,E,Novelty of Reactions,8
Glycine,2,E,Total,47
Glycine,2,F,Chemical Feasibility,9
Glycine,2,F,Pathway Coherence,10
Glycine,2,F,Environmental Consistency,9
Glycine,2,F,Mechanistic Detail,9
Glycine,2,F,Network Completeness,9
Glycine,2,F,Prebiotic Plausibility,10
Glycine,2,F,Novelty of Reactions,9
Glycine,2,F,Total,65
Glycine,3,A,Chemical Feasibility,9
Glycine,3,A,Pathway Coherence,8
Glycine,3,A,Environmental Consistency,9
Glycine,3,A,Mechanistic Detail,9
Glycine,3,A,Network Completeness,9
Glycine,3,A,Prebiotic Plausibility,9
Glycine,3,A,Novelty of Reactions,8
Glycine,3,A,Total,61
Glycine,3,B,Chemical Feasibility,8
Glycine,3,B,Pathway Coherence,8
Glycine,3,B,Environmental Consistency,9
Glycine,3,B,Mechanistic Detail,9
Glycine,3,B,Network Completeness,6
Glycine,3,B,Prebiotic Plausibility,8
Glycine,3,B,Novelty of Reactions,9
Glycine,3,B,Total,57
Glycine,3,C,Chemical Feasibility,8
Glycine,3,C,Pathway Coherence,8
Glycine,3,C,Environmental Consistency,8
Glycine,3,C,Mechanistic Detail,8
Glycine,3,C,Network Completeness,6
Glycine,3,C,Prebiotic Plausibility,7
Glycine,3,C,Novelty of Reactions,9
Glycine,3,C,Total,54
Glycine,3,D,Chemical Feasibility,9
Glycine,3,D,Pathway Coherence,8
Glycine,3,D,Environmental Consistency,9
Glycine,3,D,Mechanistic Detail,8
Glycine,3,D,Network Completeness,9
Glycine,3,D,Prebiotic Plausibility,9
Glycine,3,D,Novelty of Reactions,8
Glycine,3,D,Total,60
Glycine,3,E,Chemical Feasibility,7
Glycine,3,E,Pathway Coherence,5
Glycine,3,E,Environmental Consistency,8
Glycine,3,E,Mechanistic Detail,8
Glycine,3,E,Network Completeness,3
Glycine,3,E,Prebiotic Plausibility,5
Glycine,3,E,Novelty of Reactions,8
Glycine,3,E,Total,44
Glycine,3,F,Chemical Feasibility,9
Glycine,3,F,Pathway Coherence,10
Glycine,3,F,Environmental Consistency,9
Glycine,3,F,Mechanistic Detail,8
Glycine,3,F,Network Completeness,9
Glycine,3,F,Prebiotic Plausibility,9
Glycine,3,F,Novelty of Reactions,9
Glycine,3,F,Total,63
Glycine,4,A,Chemical Feasibility,9
Glycine,4,A,Pathway Coherence,9
Glycine,4,A,Environmental Consistency,9
Glycine,4,A,Mechanistic Detail,9
Glycine,4,A,Network Completeness,9
Glycine,4,A,Prebiotic Plausibility,9
Glycine,4,A,Novelty of Reactions,8
Glycine,4,A,Total,62
Glycine,4,B,Chemical Feasibility,8
Glycine,4,B,Pathway Coherence,8
Glycine,4,B,Environmental Consistency,9
Glycine,4,B,Mechanistic Detail,8
Glycine,4,B,Network Completeness,7
Glycine,4,B,Prebiotic Plausibility,8
Glycine,4,B,Novelty of Reactions,9
Glycine,4,B,Total,57
Glycine,4,C,Chemical Feasibility,7
Glycine,4,C,Pathway Coherence,4
Glycine,4,C,Environmental Consistency,8
Glycine,4,C,Mechanistic Detail,8
Glycine,4,C,Network Completeness,4
Glycine,4,C,Prebiotic Plausibility,7
Glycine,4,C,Novelty of Reactions,8
Glycine,4,C,Total,46
Glycine,4,D,Chemical Feasibility,5
Glycine,4,D,Pathway Coherence,8
Glycine,4,D,Environmental Consistency,8
Glycine,4,D,Mechanistic Detail,7
Glycine,4,D,Network Completeness,8
Glycine,4,D,Prebiotic Plausibility,6
Glycine,4,D,Novelty of Reactions,7
Glycine,4,D,Total,49
Glycine,4,E,Chemical Feasibility,7
Glycine,4,E,Pathway Coherence,4
Glycine,4,E,Environmental Consistency,7
Glycine,4,E,Mechanistic Detail,7
Glycine,4,E,Network Completeness,2
Glycine,4,E,Prebiotic Plausibility,4
Glycine,4,E,Novelty of Reactions,6
Glycine,4,E,Total,37
Glycine,4,F,Chemical Feasibility,9
Glycine,4,F,Pathway Coherence,10
Glycine,4,F,Environmental Consistency,9
Glycine,4,F,Mechanistic Detail,9
Glycine,4,F,Network Completeness,10
Glycine,4,F,Prebiotic Plausibility,9
Glycine,4,F,Novelty of Reactions,9
Glycine,4,F,Total,65
Glycine,5,A,Chemical Feasibility,9
Glycine,5,A,Pathway Coherence,9
Glycine,5,A,Environmental Consistency,9
Glycine,5,A,Mechanistic Detail,9
Glycine,5,A,Network Completeness,9
Glycine,5,A,Prebiotic Plausibility,9
Glycine,5,A,Novelty of Reactions,9
Glycine,5,A,Total,63
Glycine,5,B,Chemical Feasibility,8
Glycine,5,B,Pathway Coherence,8
Glycine,5,B,Environmental Consistency,8
Glycine,5,B,Mechanistic Detail,8
Glycine,5,B,Network Completeness,6
Glycine,5,B,Prebiotic Plausibility,8
Glycine,5,B,Novelty of Reactions,7
Glycine,5,B,Total,53
Glycine,5,C,Chemical Feasibility,7
Glycine,5,C,Pathway Coherence,4
Glycine,5,C,Environmental Consistency,7
Glycine,5,C,Mechanistic Detail,7
Glycine,5,C,Network Completeness,4
Glycine,5,C,Prebiotic Plausibility,6
