Molecule,Run,Rank,Config,Total Score,Key Differentiator
Glutamate,4,4,ms_disc,63/70,Features an elegant acetyl-thioester to malonate pathway mimicking biology; strong coupling of distinct chemical modules.
Glutamate,4,5,deep_research_claude,60/70,"Leverages the newest 2024 literature to address amination bottlenecks, though relies on a slightly speculative C1+C1 direct carboxylation."
Glutamate,4,6,perfect_rag,51/70,"Granular and mechanistically accurate, but severely penalized for being an incomplete network missing bottom-up precursor synthesis."
Glutamate,5,1,no_research,66/70,"Unmatched chemical rigor; actively solves known prebiotic bottlenecks (e.g., TiO2 photoredox for carboxylate reduction, explicit metal chelation for transamination)."
Glutamate,5,2,deep_research_claude,64/70,Best literature integration; directly designs the network around the specific kinetic reactivity paradox of α-ketoglutarate.
Glutamate,5,3,deep_research_gpt5.4,62/70,Exceptional surface chemistry featuring cyanohydrin kinetic traps and neutral-pH DAP Strecker variants.
Glutamate,5,4,deep_research_gemini,60/70,"Introduced the highly plausible pyroglutamate thermal reservoir, but suffered from relying on messy formose chemistry to yield acrolein cleanly."
Glutamate,5,5,ms_disc,59/70,"Good inclusion of the HKG cycle, but relied on thermodynamically difficult unactivated thermal reductions."
Glutamate,5,6,perfect_rag,56/70,"Great elementary step breakdown, but penalized for an incomplete network that started a major pathway from a complex C5 intermediate."
Glycine,1,1,deep_research_claude,65,"Unmatched comprehensiveness; flawlessly integrates 2024 literature and explicitly solves known prebiotic bottlenecks (NH₃ scarcity, HCN thresholds)."
Glycine,1,2,deep_research_gpt5.4,64,Highly innovative; successfully builds a robust network through underutilized intermediates like ethanolamine and formaldimine.
Glycine,1,3,no_research,60,Elegant network design; cleverly utilizes formamide as a localized ammonia pump to drive parallel synthesis branches.
Glycine,1,4,ms_disc,59,"Structurally sound and logically flawless environmental flow, though slightly less novel than the top three."
Glycine,1,5,deep_research_gemini,51,Severely hindered by proposing a highly unfeasible S_N2 displacement of an unactivated hydroxyl group in basic aqueous conditions.
Glycine,1,6,perfect_rag,50,"Features fascinating ""top-down"" degradation routes, but suffers from fatal chemical mechanism errors (e.g., Cannizzaro producing C2 skeletons)."
Glycine,2,1,deep_research_claude,69/70,Absolute mastery of literature; uses Bucherer-Bergs to solve the low-ammonia Strecker problem.
Glycine,2,2,no_research,67/70,"Elegant systems chemistry; uses HCN \u2192 formamide as an ingenious ""ammonia pump""."
Glycine,2,3,ms_disc,66/70,Mechanistically flawless; brilliant distinction between competing Strecker sub-pathways.
Glycine,2,4,deep_research_gpt5.4,62/70,"Highly innovative (ethanolamine route), but relies on computational reactions with impossible 50 kcal/mol barriers."
Glycine,2,5,perfect_rag,53/70,"Creative use of thermodynamic sinks, but contains severe chemical errors (Cannizzaro to glycolic acid)."
Glycine,2,6,deep_research_gemini,51/70,Fundamentally flawed Sₙ2 amination of an unactivated \u03b1-hydroxy acid ruins its terminal pathway.
Glycine,3,1,deep_research_claude,68/70,"Absolute chemical rigor combined with cutting-edge experimental literature (e.g., bypassing Strecker bottlenecks via Bucherer-Bergs)."
Glycine,3,2,no_research,61/70,Elegantly solved the prebiotic NH₃ shortage by routing HCN through formamide to supply local surface ammonia for Strecker reactions.
Glycine,3,3,ms_disc,60/70,"The most classically sound, textbook-accurate network; highly reliable, though slightly lacking in modern novelty."
Glycine,3,4,perfect_rag,58/70,"Architecturally brilliant and conceptually novel (glycine via degradation), but marred by specific mechanistic chemistry errors."
Glycine,3,5,deep_research_gpt5.4,54/70,Over-reliant on computational DFT predictions with prohibitive activation barriers rather than proven bench chemistry.
Glycine,3,6,deep_research_gemini,42/70,Proposes a chemically unviable direct Sₙ2 amination of an unactivated aliphatic alcohol (glycolate) in basic water.
Glycine,4,1,deep_research_claude,69/70,"Flawless integration of cutting-edge literature (2024 ferroan brucite) with brilliant solutions to kinetic/concentration bottlenecks (eutectic freezing, Bucherer-Bergs)."
Glycine,4,2,no_research,64/70,"Highly robust, experimentally validated network featuring the elegant Huber & Wächtershäuser pathway and a brilliant photochemical ammonia-generation route."
Glycine,4,3,deep_research_gemini,60/70,"Excellent inclusion of peptide bond formation, but slightly hampered by reliance on a computationally predicted, experimentally difficult SN2 amination of glycolate."
Glycine,4,4,ms_disc,57/70,"Highly organized and modular, but suffers from a distinct mechanistic error regarding the direct nucleophilic substitution of unactivated cyanohydrins."
Glycine,4,5,deep_research_gpt5.4,52/70,"Proposes highly creative routes, but loses heavy credibility by hallucinating future literature (""2026"") and proposing a reaction with a kinetically dead 40-50 kcal/mol barrier."
Glycine,4,6,perfect_rag,50/70,"Fascinating as a degradation/sink model, but completely violates the prompt's constraint by using complex C4/C6 molecules as starting materials rather than the specified simple precursors."
Glycine,5,1,deep_research_claude,69/70,"Flawless chemical rigor, exact literature yields/barriers, and integration of 2024 breakthroughs."
Glycine,5,2,deep_research_gpt5.4,64/70,Highly novel use of ethanolamine oxidation and formaldimine chemistry to bypass standard bottlenecks.
Glycine,5,3,perfect_rag,63/70,Brilliant conceptual framing of glycine as a thermodynamic sink via retro-aldol degradation.
Glycine,5,4,no_research,61/70,"Elegant, classic use of formamide photochemistry and Wächtershäuser carbonylation."
Glycine,5,5,ms_disc,58/70,"Solid and robust, but contains a minor mechanistic inaccuracy regarding cyanohydrin amination."
Glycine,5,6,deep_research_gemini,46/70,Contains a fatal organic chemistry error (unactivated Sₙ2 displacement of an alcohol by ammonia).
Histidine,1,1,deep_research_gpt5.4,63/70,Brilliantly solves the pH-staging problem of histidine synthesis using modern literature.
Histidine,1,2,deep_research_claude,62/70,"Masterful, honest literature integration; correctly identifies why other routes fail."
Histidine,1,3,deep_research_gemini,55/70,"A solid, conservative extension of the established Shen synthesis."
Histidine,1,4,ms_disc,38/70,Fails fundamental heterocyclic regiochemistry; builds the wrong imidazole isomer.
Histidine,1,5,no_research,29/70,Proposes topologically impossible mechanisms and leaves unresolved mass balance errors.
Histidine,1,6,N/A,N/A,*(Config E was not provided in the prompt).*
Histidine,2,1,deep_research_gpt5.4,65/70,"Brilliantly identifies classical pathway flaws (pH staging, low aldehyde yield) and engineers modern, literature-backed solutions (phosphoro-Strecker)."
Histidine,2,2,deep_research_claude,60/70,"Highly accurate and rigorously truthful; refuses to hallucinate connections, explicitly noting which prebiotic reactions are dead-ends for histidine."
Histidine,2,3,deep_research_gemini,55/70,"A solid, functional execution of the classic Shen route, utilizing a glycol co-product reservoir, though slightly less innovative than A or C."
Histidine,2,4,ms_disc,38/70,"Very creative alternative approach, but suffers from a fatal organic chemistry error (wrong regioselectivity in the Radziszewski imidazole synthesis)."
Histidine,2,5,no_research,26/70,"Shares the regiochemistry error of D, and the generation completely broke down, leaving unedited self-corrections and unbalanced equations in the final text."
Histidine,3,1,deep_research_gpt5.4,66/70,Solved the pH staging conflict using neutral-pH phosphoro-Strecker chemistry; elite literature integration.
Histidine,3,2,deep_research_gemini,62/70,Intelligently optimized the classical route by dehydrating major co-products on minerals to boost effective yields.
Histidine,3,3,deep_research_claude,55/70,"A solid, honest, textbook reconstruction of the established literature, though it lacks the problem-solving creativity of B and C."
Histidine,3,4,ms_disc,45/70,Highly creative but structurally invalidated by a fundamental regiochemistry error in the imidazole ring formation.
Histidine,3,5,no_research,30/70,Fatally flawed chemistry combined with severe generation artifacts (leaked internal monologue regarding unbalanced stoichiometry).
Histidine,4,1,deep_research_claude,65,Flawless literature mastery; incorporates 2023 cyanosulfidic chemistry and maps exact bottlenecks with absolute scientific rigor.
Histidine,4,2,deep_research_gpt5.4,64,Incredible creativity; applies neutral-pH Phosphoro-Strecker to elegantly solve a decades-old environmental pH-staging problem.
Histidine,4,3,deep_research_gemini,56,"A solid, functional, textbook-accurate construction of the classical Shen-Oró route without the brilliance of A or C."
Histidine,4,4,ms_disc,44,"Highly creative metabolic analog ideas, but suffers a fatal structural chemistry error in its imidazole ring construction."
Histidine,4,5,no_research,27,Functionally broken; contains fatal chemical errors and includes internal monologue admitting its reaction stoichiometries fail.
Histidine,5,1,deep_research_gpt5.4,63,"Solves historic literature bottlenecks (formamidine instability, pH shifts) with brilliant, explicit hypotheses."
Histidine,5,2,deep_research_gemini,61,Effectively rescues the low-yield Shen synthesis by capturing and dehydrating the major glycol byproduct.
Histidine,5,3,deep_research_claude,56,"A scientifically honest, accurate baseline of the Shen route, though it fails to innovate past known dead-ends."
Histidine,5,4,ms_disc,46,Highly creative but chemically implausible; relies on unmanageable reagents (malondialdehyde) and impossible selective oxidations.
Histidine,5,5,no_research,32,Chemically broken; proposes structural transformations that violate organic chemistry and fails to balance basic stoichiometry.
Histidine,5,6,N/A,-,*(Config E was not provided in the prompt).*
L-Alanine,1,1,deep_research_claude,68/70,Unmatched modern literature integration (Bucherer-Bergs) and perfect handling of the chirality problem.
L-Alanine,1,2,perfect_rag,63/70,Brilliant resolution of precursor dead-ends (NO to NH₂OH) and non-circular metabolic mapping.
L-Alanine,1,3,deep_research_gpt5.4,59/70,"Explicit physical chiral resolution (CPL/Viedma), but relies on anachronistic Pyridoxal."
L-Alanine,1,4,deep_research_gemini,59/70,"Great cyanosulfidic inclusion, but uses anachronistic RNA-directed L-selection."
L-Alanine,1,5,ms_disc,59/70,"Solid traditional chemistry, but relies on the messy formose-ammonia reaction."
L-Alanine,1,6,no_research,57/70,"Functional and chemically sound, but lacks the novelty and depth of the higher-ranked configs."
L-Alanine,2,1,deep_research_gpt5.4,65/70,"Integrates 2023-2024 literature, solving the Strecker bottleneck via formamide protection and modeling proto-enzymatic emergence."
L-Alanine,2,2,perfect_rag,65/70,Unmatched geochemical rigor; brilliantly sources complex nitrogen donors (hydroxylamine) directly from volcanic NO reduction.
L-Alanine,2,3,deep_research_claude,64/70,Features a conceptual breakthrough by successfully bridging amino acid synthesis with pyrimidine synthesis via the Bucherer-Bergs pathway.
L-Alanine,2,4,deep_research_gemini,58/70,"Excellent C1→C3 carbon chain modeling, but suffers from an anachronistic reliance on pre-existing RNA for chiral selection."
L-Alanine,2,5,ms_disc,55/70,"A solid, classical network that is dragged down slightly by reliance on the unselective formose-ammonia pathway."
L-Alanine,2,6,no_research,54/70,"Capable endogenous HCN sourcing, but features chemically speculative carbonylation steps and relies on older paradigms."
L-Alanine,3,1,Config A,69/70,Flawless integration of the 2022 Bucherer-Bergs pathway; solves classic Strecker stability issues.
L-Alanine,3,2,Config E,65/70,Incredible rigor; uniquely solves the hydroxylamine precursor gap via volcanic NO reduction.
L-Alanine,3,3,Config C,64/70,"Highly novel 2023/2024 chemistry (formamide protection, metal-PLP), held back only by assuming Pyridoxal."
L-Alanine,3,4,Config B,62/70,"Creative approach to homochirality, though reliant on pre-existing RNA templates."
L-Alanine,3,5,Config F,61/70,"A highly solid, self-contained, but traditional baseline network without cutting-edge novelties."
L-Alanine,3,6,Config D,57/70,Relies on lower-selectivity reactions (formose-ammonia) and older Strecker variants.
L-Alanine,4,1,Config C,68/70,Bleeding-edge novelty: formamide-stabilization of aminonitriles and metal/pyridoxal transamination.
L-Alanine,4,2,Config E,66/70,Ingenious network topology avoiding circularity; features NO reduction and lactic acid oxidation.
L-Alanine,4,3,Config A,63/70,Integrates the Bucherer-Bergs hydantoin route and direct H2/Ni amination.
L-Alanine,4,4,Config B,62/70,Clever handling of D-ee pyrite photocatalysis and cyanosulfidic deoxygenation.
L-Alanine,4,5,Config D,60/70,"Explores the cyanohydrin variant and Al-smectite catalysis, but slightly weaker mechanistically."
L-Alanine,4,6,Config F,57/70,"A solid, textbook network that lacks the extreme novelty and density of the higher-ranked variants."
L-Alanine,5,1,perfect_rag,66/70,"Flawless topological coherence; ingeniously solves the ""hydroxylamine precursor"" problem via NO reduction."
L-Alanine,5,2,deep_research_gpt5.4,64/70,Integrates absolute cutting-edge 2023/2024 literature to solve specific kinetic bottlenecks (formamide dry-traps).
L-Alanine,5,3,deep_research_claude,63/70,"Uses the Bucherer-Bergs pathway as a brilliant kinetic trap, successfully bridging amino acid and nucleobase synthesis."
L-Alanine,5,4,deep_research_gemini,62/70,"The only config to thoroughly and creatively tackle the L-enantiomer requirement, blending mineral D-excess with RNA-templated L-selection."
L-Alanine,5,5,ms_disc,55/70,"Solid, academically sound classical pathways, but lacks the creative systems-chemistry leaps of the top tier."
L-Alanine,5,6,no_research,55/70,"Chemically functional and features a neat endogenous HCN loop, but is the simplest and least ambitious network."
L-Proline,1,1,deep_research_claude,65/70,"Unmatched completeness, integrates the newest 2024 literature, and provides rigorous multi-mechanism solutions to chirality."
L-Proline,1,2,deep_research_gpt5.4,64/70,Identifies the hardest chemical bottleneck (γ-carboxyl reduction) and solves it brilliantly with prebiotic phosphoryl/thioester activation.
L-Proline,1,3,no_research,62/70,"Highly creative topology focused on succinaldehyde, featuring masterful arguments regarding kinetic vs. thermodynamic control."
L-Proline,1,4,deep_research_gemini,60/70,"A solid, well-rounded integration of the Sutherland cyanosulfidic and Moran proto-TCA paradigms."
L-Proline,1,5,ms_disc,60/70,"Features a highly unique Mannich-type pathway, but relies heavily on chemically ""messy"" formose/aldehyde cascades."
L-Proline,1,6,perfect_rag,59/70,"Chemically bulletproof, but functions more as a literature review of a single paradigm (Patel 2015) rather than a diverse, novel network."
L-Proline,2,1,deep_research_claude,64/70,Most comprehensive; explicitly addresses L-chirality and provides multiple bypasses for known bottlenecks.
L-Proline,2,2,deep_research_gpt5.4,63/70,"Masterful chemical reasoning; provides the best activation mechanisms (P3m, thioester) to solve the $\gamma$-carboxyl reduction problem."
L-Proline,2,3,no_research,61/70,Highest novelty; introduces brilliant kinetic-control arguments and creative C4 building block assembly.
L-Proline,2,4,perfect_rag,60/70,"Bulletproof feasibility based on Patel 2015, but lacks multi-paradigm novelty and ignores L-stereoselection."
L-Proline,2,5,deep_research_gemini,58/70,"Creative thermal decarboxylation bridging routes, but falters on the thermodynamics of the $\gamma$-reduction step."
L-Proline,2,6,ms_disc,58/70,"Highly novel Mannich cyclization, but relies on somewhat brute-force Fe$^0$ reductions that limit plausibility."
L-Proline,3,1,deep_research_gpt5.4,65/70,Brilliantly solves a recognized prebiotic bottleneck via biologically-inspired acyl-phosphate activation.
L-Proline,3,2,deep_research_claude,64/70,Exceptionally comprehensive; successfully unifies four distinct major literature paradigms into one network.
L-Proline,3,3,perfect_rag,62/70,Flawless environmental staging and explicit mapping of catalytic sulfur/nitrogen cycles.
L-Proline,3,4,deep_research_gemini,60/70,Cleverly bridges proto-metabolism to Strecker chemistry via a novel thermal decarboxylation step.
L-Proline,3,5,no_research,59/70,Utilizes advanced chemical concepts (kinetic control) to bypass early intramolecular cyclization.
L-Proline,3,6,ms_disc,56/70,"Highly creative Mannich pathway, but relies on a thermodynamically questionable Fe0 carboxylate reduction."
L-Proline,4,1,perfect_rag,68/70,Flawless organic chemistry; beautifully links simple C1/C2 feedstocks to complex cyanosulfidic precursors via robust cross-aldol and Michael addition.
L-Proline,4,2,deep_research_gpt5.4,65/70,Rigorously solves the network's hardest thermodynamic bottleneck by introducing a highly plausible abiotic analog of biological acyl phosphate activation (P3m).
L-Proline,4,3,deep_research_gemini,64/70,"Features a brilliant topological bridge (thermal decarboxylation of GSA to Strecker precursors), though relies on an unactivated reduction step."
L-Proline,4,4,deep_research_claude,60/70,"Very comprehensive literature integration, but held back by a structurally inaccurate proposal for terminal C-C oxidative coupling of acetaldehyde."
L-Proline,4,5,no_research,54/70,"Contains highly creative kinetic control ideas, but is heavily penalized for inventing an impossible redox mechanism during desulfurization."
L-Proline,4,6,ms_disc,49/70,"Penalized for a fatal structural flaw; the proposed Mannich chain extension would result in branched molecules (serine analogs), not a linear pyrrolidine precursor."
L-Proline,5,1,deep_research_claude,64/70,"The only config to offer a complete, end-to-end network featuring redundant paradigms *and* explicit, multi-faceted mechanisms for L-homochirality."
L-Proline,5,2,deep_research_gpt5.4,63/70,Showcased the most brilliant specific chemical innovation (P₃m phosphoryl activation) to solve the exact thermodynamic bottleneck of the biological pathway.
L-Proline,5,3,deep_research_gemini,61/70,"Best ""bridge"" network; elegantly connected proto-metabolism to Strecker chemistry via a novel GSA thermal decarboxylation branch point."
L-Proline,5,4,perfect_rag,61/70,"The most experimentally validated and rigorous, tracing the famous Sutherland cyanosulfidic network flawlessly back to geochemical feedstocks."
L-Proline,5,5,no_research,58/70,"Highly creative upstream C4-assembly (erythrose cleavage, crotonaldehyde reduction), but overly reliant on the stability of succinaldehyde."
L-Proline,5,6,ms_disc,54/70,"Proposed a highly novel Mannich cyclization, but suffered from uphill thermodynamic steps (Fe⁰ carboxylate reduction) and lacked chiral considerations."
Serine,1,1,no_research,68/70,"Flawless redox chemistry, Bucherer-Bergs hydantoin integration, and perfect pathway convergence."
Serine,1,2,deep_research_claude,63/70,Excellent use of N-formyl kinetic trapping and strict environmental control to protect fragile products.
Serine,1,3,deep_research_gpt5.4,61/70,Highly rigorous deployment of bisulfite protection to resolve alkaline instability bottlenecks.
Serine,1,4,perfect_rag,53/70,"Brilliant autocatalytic glyoxylate loops, but penalized for synthesizing fragile serine in destructive hydrothermal heat."
Serine,1,5,deep_research_gemini,52/70,"Highly novel, but includes a computationally derived thermal reaction with a kinetically impossible 55.5 kcal/mol barrier."
Serine,1,6,ms_disc,47/70,Suffers from a fundamental organic chemistry failure (attempting a 4-electron oxidation in a single step with incorrect functional group assignments).
Serine,2,1,deep_research_claude,67/70,Absolute chemical perfection and flawless integration of state-of-the-art protection strategies (N-formyl).
Serine,2,2,perfect_rag,65/70,"Systems-level design featuring a brilliant autocatalytic loop, heavily backed by recent non-enzymatic metabolism literature."
Serine,2,3,deep_research_gpt5.4,61/70,"Highly robust, safe, and realistic; effectively utilizes kinetic trapping (bisulfite) to solve real prebiotic bottlenecks."
Serine,2,4,no_research,55/70,"Great fixes to prior metabolic oxidation errors, but held back by a stoichiometric error in a crossed-aldol reaction."
Serine,2,5,deep_research_gemini,40/70,"Contains a fatal carbon-counting error, misapplying the Strecker reaction to a C3 precursor to incorrectly yield a C3 product."
Serine,2,6,ms_disc,37/70,Fails basic organic chemistry rules by proposing an aldol condensation between two molecules lacking alpha-protons.
Serine,3,1,deep_research_gpt5.4,68,"Masterful use of protecting groups (bisulfite, N-formyl); flawless chemistry."
Serine,3,2,perfect_rag,66,High biological relevance via C1-elongation of glycine and an autocatalytic loop.
Serine,3,3,deep_research_claude,63,"Solid, literature-backed network with no chemical flaws, though slightly less novel than C/E."
Serine,3,4,no_research,59,"Great inclusion of Bucherer-Bergs, but penalized for an impossible C2+C2 \u2192 C3 Cannizzaro reaction."
Serine,3,5,ms_disc,54,Penalized for glossing over a 4e- double oxidation as a simple 2e- transformation.
Serine,3,6,deep_research_gemini,42,Fatal mass-balance error: claims Strecker synthesis on a C3 molecule yields a C3 product.
Serine,4,1,deep_research_gpt5.4,67/70,Masterful use of kinetic trapping/protecting groups to solve alkaline degradation.
Serine,4,2,no_research,65/70,Exceptional chemical rigor; explicitly corrects redox errors and utilizes stable hydantoins.
Serine,4,3,deep_research_claude,63/70,"A robust, highly accurate synthesis of modern cyanosulfidic and iron-sulfur literature."
Serine,4,4,perfect_rag,60/70,"Highly creative, biology-mirroring topology (glycine + C1 → serine) with an autocatalytic loop."
Serine,4,5,ms_disc,49/70,Suffers from a major redox stoichiometry error regarding the oxidation of aldo-sugars to keto-acids.
Serine,4,6,deep_research_gemini,49/70,Proposes a ground-state thermal reaction with an impossible 55.5 kcal/mol activation barrier.
Serine,5,1,deep_research_claude,66/70,"Flawless carbon accounting, integrates cutting-edge protection chemistry, and directly addresses the thermodynamic fragility of the target."
Serine,5,2,deep_research_gpt5.4,62/70,"Highly coherent; employs elegant, literature-backed bisulfite protection to solve known stability bottlenecks."
Serine,5,3,ms_disc,59/70,"Explores excellent proto-metabolic diversity (DAP Strecker, transamination) but suffers from a chemoselectivity oversight in oxidation."
Serine,5,4,perfect_rag,50/70,"Features a brilliant autocatalytic loop concept, but falls victim to stoichiometric errors in the final assembly step."
Serine,5,5,no_research,47/70,Contains a fatal C2 + C2 = C3 mass balance error in a critical hub reaction.
Serine,5,6,deep_research_gemini,43/70,"Contains a fatal C3 + C1 = C3 error in the primary Strecker pathway, invalidating the core logic of the network."
Threonine,1,1,deep_research_gpt5.4,62/70,The only network with structurally flawless C-C bond formation; brilliant use of AMN.
Threonine,1,2,deep_research_gemini,58/70,"Flawless Prebiotic Sugar Pathway explicitly yields threonine thioesters, solving peptide activation."
Threonine,1,3,ms_disc,56/70,"Exceptional chemical creativity (phosphoro-Strecker, acetol tautomerization), despite a regiochem error."
Threonine,1,4,deep_research_claude,55/70,"Great use of modern literature (pyrite ee), but docked for an impossible enolate mechanism."
Threonine,1,5,no_research,47/70,Network broken by a highly unfavorable radical abstraction mechanism.
Threonine,1,6,perfect_rag,42/70,Fatal structural error: synthesizes a branched amino acid ($\alpha$-methylserine) instead of threonine.
Threonine,2,1,deep_research_gpt5.4,67,Flawless chemical accuracy and perfect execution of both cyanosulfidic and AMN literature pathways.
Threonine,2,2,ms_disc,66,"Exceptionally creative organic chemistry (umpolung acyloin, tautomerization) to solve known prebiotic bottlenecks."
Threonine,2,3,deep_research_claude,58,"Expansive and literature-dense with brilliant environmental constraints (ice eutectic), though marred by one impossible aldol reaction."
Threonine,2,4,no_research,58,"Strong unidirectional network flow and great hub redundancy, but relies on mechanistically debatable selectivities."
