Molecule,Run,Config,Criterion,Score
Glutamate,2,A,Novelty of Reactions,8
Glutamate,2,A,Total,60
Glutamate,2,B,Chemical Feasibility,8
Glutamate,2,B,Pathway Coherence,7
Glutamate,2,B,Environmental Consistency,8
Glutamate,2,B,Mechanistic Detail,8
Glutamate,2,B,Network Completeness,6
Glutamate,2,B,Prebiotic Plausibility,6
Glutamate,2,B,Novelty of Reactions,8
Glutamate,2,B,Total,51
Glutamate,2,C,Chemical Feasibility,9
Glutamate,2,C,Pathway Coherence,6
Glutamate,2,C,Environmental Consistency,9
Glutamate,2,C,Mechanistic Detail,9
Glutamate,2,C,Network Completeness,5
Glutamate,2,C,Prebiotic Plausibility,9
Glutamate,2,C,Novelty of Reactions,10
Glutamate,2,C,Total,57
Glutamate,2,D,Chemical Feasibility,8
Glutamate,2,D,Pathway Coherence,8
Glutamate,2,D,Environmental Consistency,8
Glutamate,2,D,Mechanistic Detail,7
Glutamate,2,D,Network Completeness,7
Glutamate,2,D,Prebiotic Plausibility,8
Glutamate,2,D,Novelty of Reactions,7
Glutamate,2,D,Total,53
Glutamate,2,E,Chemical Feasibility,9
Glutamate,2,E,Pathway Coherence,8
Glutamate,2,E,Environmental Consistency,9
Glutamate,2,E,Mechanistic Detail,10
Glutamate,2,E,Network Completeness,4
Glutamate,2,E,Prebiotic Plausibility,9
Glutamate,2,E,Novelty of Reactions,8
Glutamate,2,E,Total,57
Glutamate,2,F,Chemical Feasibility,4
Glutamate,2,F,Pathway Coherence,6
Glutamate,2,F,Environmental Consistency,7
Glutamate,2,F,Mechanistic Detail,6
Glutamate,2,F,Network Completeness,8
Glutamate,2,F,Prebiotic Plausibility,4
Glutamate,2,F,Novelty of Reactions,5
Glutamate,2,F,Total,40
Glutamate,3,A,Chemical Feasibility,8
Glutamate,3,A,Pathway Coherence,7
Glutamate,3,A,Environmental Consistency,9
Glutamate,3,A,Mechanistic Detail,8
Glutamate,3,A,Network Completeness,6
Glutamate,3,A,Prebiotic Plausibility,9
Glutamate,3,A,Novelty of Reactions,8
Glutamate,3,A,Total,55
Glutamate,3,B,Chemical Feasibility,7
Glutamate,3,B,Pathway Coherence,7
Glutamate,3,B,Environmental Consistency,8
Glutamate,3,B,Mechanistic Detail,7
Glutamate,3,B,Network Completeness,6
Glutamate,3,B,Prebiotic Plausibility,5
Glutamate,3,B,Novelty of Reactions,7
Glutamate,3,B,Total,47
Glutamate,3,C,Chemical Feasibility,9
Glutamate,3,C,Pathway Coherence,9
Glutamate,3,C,Environmental Consistency,9
Glutamate,3,C,Mechanistic Detail,9
Glutamate,3,C,Network Completeness,9
Glutamate,3,C,Prebiotic Plausibility,8
Glutamate,3,C,Novelty of Reactions,9
Glutamate,3,C,Total,62
Glutamate,3,D,Chemical Feasibility,5
Glutamate,3,D,Pathway Coherence,6
Glutamate,3,D,Environmental Consistency,7
Glutamate,3,D,Mechanistic Detail,6
Glutamate,3,D,Network Completeness,5
Glutamate,3,D,Prebiotic Plausibility,6
Glutamate,3,D,Novelty of Reactions,6
Glutamate,3,D,Total,41
Glutamate,3,E,Chemical Feasibility,7
Glutamate,3,E,Pathway Coherence,4
Glutamate,3,E,Environmental Consistency,8
Glutamate,3,E,Mechanistic Detail,7
Glutamate,3,E,Network Completeness,3
Glutamate,3,E,Prebiotic Plausibility,7
Glutamate,3,E,Novelty of Reactions,8
Glutamate,3,E,Total,44
Glutamate,3,F,Chemical Feasibility,2
Glutamate,3,F,Pathway Coherence,3
Glutamate,3,F,Environmental Consistency,7
Glutamate,3,F,Mechanistic Detail,4
Glutamate,3,F,Network Completeness,7
Glutamate,3,F,Prebiotic Plausibility,3
Glutamate,3,F,Novelty of Reactions,5
Glutamate,3,F,Total,31
Glutamate,4,A,Chemical Feasibility,9
Glutamate,4,A,Pathway Coherence,9
Glutamate,4,A,Environmental Consistency,9
Glutamate,4,A,Mechanistic Detail,8
Glutamate,4,A,Network Completeness,9
Glutamate,4,A,Prebiotic Plausibility,9
Glutamate,4,A,Novelty of Reactions,8
Glutamate,4,A,Total,61
Glutamate,4,B,Chemical Feasibility,7
Glutamate,4,B,Pathway Coherence,8
Glutamate,4,B,Environmental Consistency,8
Glutamate,4,B,Mechanistic Detail,7
Glutamate,4,B,Network Completeness,7
Glutamate,4,B,Prebiotic Plausibility,5
Glutamate,4,B,Novelty of Reactions,7
Glutamate,4,B,Total,49
Glutamate,4,C,Chemical Feasibility,9
Glutamate,4,C,Pathway Coherence,9
Glutamate,4,C,Environmental Consistency,9
Glutamate,4,C,Mechanistic Detail,9
Glutamate,4,C,Network Completeness,9
Glutamate,4,C,Prebiotic Plausibility,9
Glutamate,4,C,Novelty of Reactions,10
Glutamate,4,C,Total,64
Glutamate,4,D,Chemical Feasibility,5
Glutamate,4,D,Pathway Coherence,7
Glutamate,4,D,Environmental Consistency,8
Glutamate,4,D,Mechanistic Detail,6
Glutamate,4,D,Network Completeness,7
Glutamate,4,D,Prebiotic Plausibility,6
Glutamate,4,D,Novelty of Reactions,6
Glutamate,4,D,Total,45
Glutamate,4,E,Chemical Feasibility,9
Glutamate,4,E,Pathway Coherence,9
Glutamate,4,E,Environmental Consistency,9
Glutamate,4,E,Mechanistic Detail,10
Glutamate,4,E,Network Completeness,8
Glutamate,4,E,Prebiotic Plausibility,9
Glutamate,4,E,Novelty of Reactions,8
Glutamate,4,E,Total,62
Glutamate,4,F,Chemical Feasibility,2
Glutamate,4,F,Pathway Coherence,5
Glutamate,4,F,Environmental Consistency,7
Glutamate,4,F,Mechanistic Detail,4
Glutamate,4,F,Network Completeness,6
Glutamate,4,F,Prebiotic Plausibility,4
Glutamate,4,F,Novelty of Reactions,4
Glutamate,4,F,Total,32
Glutamate,5,A,Chemical Feasibility,8
Glutamate,5,A,Pathway Coherence,9
Glutamate,5,A,Environmental Consistency,9
Glutamate,5,A,Mechanistic Detail,8
Glutamate,5,A,Network Completeness,8
Glutamate,5,A,Prebiotic Plausibility,9
Glutamate,5,A,Novelty of Reactions,9
Glutamate,5,A,Total,60
Glutamate,5,B,Chemical Feasibility,4
Glutamate,5,B,Pathway Coherence,5
Glutamate,5,B,Environmental Consistency,6
Glutamate,5,B,Mechanistic Detail,7
Glutamate,5,B,Network Completeness,4
Glutamate,5,B,Prebiotic Plausibility,3
Glutamate,5,B,Novelty of Reactions,7
Glutamate,5,B,Total,36
Glutamate,5,C,Chemical Feasibility,9
Glutamate,5,C,Pathway Coherence,7
Glutamate,5,C,Environmental Consistency,9
Glutamate,5,C,Mechanistic Detail,9
Glutamate,5,C,Network Completeness,5
Glutamate,5,C,Prebiotic Plausibility,8
Glutamate,5,C,Novelty of Reactions,9
Glutamate,5,C,Total,56
Glutamate,5,D,Chemical Feasibility,4
Glutamate,5,D,Pathway Coherence,5
Glutamate,5,D,Environmental Consistency,7
Glutamate,5,D,Mechanistic Detail,5
Glutamate,5,D,Network Completeness,6
Glutamate,5,D,Prebiotic Plausibility,5
Glutamate,5,D,Novelty of Reactions,6
Glutamate,5,D,Total,38
Glutamate,5,E,Chemical Feasibility,9
Glutamate,5,E,Pathway Coherence,7
Glutamate,5,E,Environmental Consistency,8
Glutamate,5,E,Mechanistic Detail,9
Glutamate,5,E,Network Completeness,5
Glutamate,5,E,Prebiotic Plausibility,9
Glutamate,5,E,Novelty of Reactions,8
Glutamate,5,E,Total,55
Glutamate,5,F,Chemical Feasibility,3
Glutamate,5,F,Pathway Coherence,6
Glutamate,5,F,Environmental Consistency,7
Glutamate,5,F,Mechanistic Detail,4
Glutamate,5,F,Network Completeness,8
Glutamate,5,F,Prebiotic Plausibility,4
Glutamate,5,F,Novelty of Reactions,5
Glutamate,5,F,Total,37
Glycine,1,A,Chemical Feasibility,8
Glycine,1,A,Pathway Coherence,9
Glycine,1,A,Environmental Consistency,9
Glycine,1,A,Mechanistic Detail,8
Glycine,1,A,Network Completeness,9
Glycine,1,A,Prebiotic Plausibility,9
Glycine,1,A,Novelty of Reactions,9
Glycine,1,A,Total,61
Glycine,1,B,Chemical Feasibility,4
Glycine,1,B,Pathway Coherence,6
Glycine,1,B,Environmental Consistency,7
Glycine,1,B,Mechanistic Detail,5
Glycine,1,B,Network Completeness,8
Glycine,1,B,Prebiotic Plausibility,5
Glycine,1,B,Novelty of Reactions,8
Glycine,1,B,Total,43
Glycine,1,C,Chemical Feasibility,6
Glycine,1,C,Pathway Coherence,5
Glycine,1,C,Environmental Consistency,2
Glycine,1,C,Mechanistic Detail,5
Glycine,1,C,Network Completeness,5
Glycine,1,C,Prebiotic Plausibility,4
Glycine,1,C,Novelty of Reactions,8
Glycine,1,C,Total,35
Glycine,1,D,Chemical Feasibility,8
Glycine,1,D,Pathway Coherence,8
Glycine,1,D,Environmental Consistency,9
Glycine,1,D,Mechanistic Detail,8
Glycine,1,D,Network Completeness,8
Glycine,1,D,Prebiotic Plausibility,8
Glycine,1,D,Novelty of Reactions,8
Glycine,1,D,Total,57
Glycine,1,E,Chemical Feasibility,7
Glycine,1,E,Pathway Coherence,3
Glycine,1,E,Environmental Consistency,8
Glycine,1,E,Mechanistic Detail,7
Glycine,1,E,Network Completeness,3
Glycine,1,E,Prebiotic Plausibility,5
Glycine,1,E,Novelty of Reactions,8
Glycine,1,E,Total,41
Glycine,1,F,Chemical Feasibility,4
Glycine,1,F,Pathway Coherence,5
Glycine,1,F,Environmental Consistency,7
Glycine,1,F,Mechanistic Detail,4
Glycine,1,F,Network Completeness,5
Glycine,1,F,Prebiotic Plausibility,6
Glycine,1,F,Novelty of Reactions,6
Glycine,1,F,Total,37
Glycine,2,A,Chemical Feasibility,9
Glycine,2,A,Pathway Coherence,9
Glycine,2,A,Environmental Consistency,9
Glycine,2,A,Mechanistic Detail,8
Glycine,2,A,Network Completeness,9
Glycine,2,A,Prebiotic Plausibility,9
Glycine,2,A,Novelty of Reactions,9
Glycine,2,A,Total,62
Glycine,2,B,Chemical Feasibility,4
Glycine,2,B,Pathway Coherence,7
Glycine,2,B,Environmental Consistency,8
Glycine,2,B,Mechanistic Detail,6
Glycine,2,B,Network Completeness,8
Glycine,2,B,Prebiotic Plausibility,5
Glycine,2,B,Novelty of Reactions,7
Glycine,2,B,Total,45
Glycine,2,C,Chemical Feasibility,5
Glycine,2,C,Pathway Coherence,6
Glycine,2,C,Environmental Consistency,2
Glycine,2,C,Mechanistic Detail,6
Glycine,2,C,Network Completeness,7
Glycine,2,C,Prebiotic Plausibility,3
Glycine,2,C,Novelty of Reactions,7
Glycine,2,C,Total,36
Glycine,2,D,Chemical Feasibility,8
Glycine,2,D,Pathway Coherence,9
Glycine,2,D,Environmental Consistency,8
Glycine,2,D,Mechanistic Detail,8
Glycine,2,D,Network Completeness,8
Glycine,2,D,Prebiotic Plausibility,8
Glycine,2,D,Novelty of Reactions,7
Glycine,2,D,Total,56
Glycine,2,E,Chemical Feasibility,3
Glycine,2,E,Pathway Coherence,3
Glycine,2,E,Environmental Consistency,7
Glycine,2,E,Mechanistic Detail,4
Glycine,2,E,Network Completeness,3
Glycine,2,E,Prebiotic Plausibility,4
Glycine,2,E,Novelty of Reactions,5
Glycine,2,E,Total,29
Glycine,2,F,Chemical Feasibility,4
Glycine,2,F,Pathway Coherence,4
Glycine,2,F,Environmental Consistency,8
Glycine,2,F,Mechanistic Detail,5
Glycine,2,F,Network Completeness,5
Glycine,2,F,Prebiotic Plausibility,5
Glycine,2,F,Novelty of Reactions,6
Glycine,2,F,Total,37
Glycine,3,A,Chemical Feasibility,8
Glycine,3,A,Pathway Coherence,8
Glycine,3,A,Environmental Consistency,8
Glycine,3,A,Mechanistic Detail,8
Glycine,3,A,Network Completeness,8
Glycine,3,A,Prebiotic Plausibility,9
Glycine,3,A,Novelty of Reactions,9
Glycine,3,A,Total,58
Glycine,3,B,Chemical Feasibility,7
Glycine,3,B,Pathway Coherence,9
Glycine,3,B,Environmental Consistency,9
Glycine,3,B,Mechanistic Detail,7
Glycine,3,B,Network Completeness,9
Glycine,3,B,Prebiotic Plausibility,8
Glycine,3,B,Novelty of Reactions,9
Glycine,3,B,Total,58
Glycine,3,C,Chemical Feasibility,8
Glycine,3,C,Pathway Coherence,5
Glycine,3,C,Environmental Consistency,8
Glycine,3,C,Mechanistic Detail,8
Glycine,3,C,Network Completeness,5
Glycine,3,C,Prebiotic Plausibility,5
Glycine,3,C,Novelty of Reactions,9
Glycine,3,C,Total,48
Glycine,3,D,Chemical Feasibility,7
Glycine,3,D,Pathway Coherence,4
Glycine,3,D,Environmental Consistency,4
Glycine,3,D,Mechanistic Detail,7
Glycine,3,D,Network Completeness,7
Glycine,3,D,Prebiotic Plausibility,6
Glycine,3,D,Novelty of Reactions,7
Glycine,3,D,Total,42
Glycine,3,E,Chemical Feasibility,8
Glycine,3,E,Pathway Coherence,3
Glycine,3,E,Environmental Consistency,6
Glycine,3,E,Mechanistic Detail,7
Glycine,3,E,Network Completeness,3
Glycine,3,E,Prebiotic Plausibility,2
Glycine,3,E,Novelty of Reactions,5
Glycine,3,E,Total,34
Glycine,3,F,Chemical Feasibility,7
Glycine,3,F,Pathway Coherence,4
Glycine,3,F,Environmental Consistency,7
Glycine,3,F,Mechanistic Detail,6
Glycine,3,F,Network Completeness,4
Glycine,3,F,Prebiotic Plausibility,5
Glycine,3,F,Novelty of Reactions,6
Glycine,3,F,Total,39
Glycine,4,A,Chemical Feasibility,7
Glycine,4,A,Pathway Coherence,8
Glycine,4,A,Environmental Consistency,9
Glycine,4,A,Mechanistic Detail,7
Glycine,4,A,Network Completeness,8
Glycine,4,A,Prebiotic Plausibility,9
Glycine,4,A,Novelty of Reactions,9
Glycine,4,A,Total,57
Glycine,4,B,Chemical Feasibility,2
Glycine,4,B,Pathway Coherence,6
Glycine,4,B,Environmental Consistency,7
Glycine,4,B,Mechanistic Detail,4
Glycine,4,B,Network Completeness,7
Glycine,4,B,Prebiotic Plausibility,4
Glycine,4,B,Novelty of Reactions,7
Glycine,4,B,Total,37
Glycine,4,C,Chemical Feasibility,8
Glycine,4,C,Pathway Coherence,7
Glycine,4,C,Environmental Consistency,8
Glycine,4,C,Mechanistic Detail,8
Glycine,4,C,Network Completeness,5
Glycine,4,C,Prebiotic Plausibility,7
Glycine,4,C,Novelty of Reactions,9
Glycine,4,C,Total,52
Glycine,4,D,Chemical Feasibility,5
Glycine,4,D,Pathway Coherence,3
Glycine,4,D,Environmental Consistency,7
Glycine,4,D,Mechanistic Detail,5
Glycine,4,D,Network Completeness,6
Glycine,4,D,Prebiotic Plausibility,6
Glycine,4,D,Novelty of Reactions,6
Glycine,4,D,Total,38
Glycine,4,E,Chemical Feasibility,2
Glycine,4,E,Pathway Coherence,4
Glycine,4,E,Environmental Consistency,6
Glycine,4,E,Mechanistic Detail,3
Glycine,4,E,Network Completeness,4
Glycine,4,E,Prebiotic Plausibility,3
Glycine,4,E,Novelty of Reactions,6
Glycine,4,E,Total,28
Glycine,4,F,Chemical Feasibility,4
Glycine,4,F,Pathway Coherence,5
Glycine,4,F,Environmental Consistency,7
Glycine,4,F,Mechanistic Detail,5
Glycine,4,F,Network Completeness,4
Glycine,4,F,Prebiotic Plausibility,5
Glycine,4,F,Novelty of Reactions,6
Glycine,4,F,Total,36
Glycine,5,A,Chemical Feasibility,8
Glycine,5,A,Pathway Coherence,7
Glycine,5,A,Environmental Consistency,6
Glycine,5,A,Mechanistic Detail,8
Glycine,5,A,Network Completeness,9
Glycine,5,A,Prebiotic Plausibility,8
Glycine,5,A,Novelty of Reactions,8
Glycine,5,A,Total,54
Glycine,5,B,Chemical Feasibility,4
Glycine,5,B,Pathway Coherence,6
Glycine,5,B,Environmental Consistency,7
Glycine,5,B,Mechanistic Detail,5
Glycine,5,B,Network Completeness,8
Glycine,5,B,Prebiotic Plausibility,5
Glycine,5,B,Novelty of Reactions,7
Glycine,5,B,Total,42
Glycine,5,C,Chemical Feasibility,9
Glycine,5,C,Pathway Coherence,9
Glycine,5,C,Environmental Consistency,9
Glycine,5,C,Mechanistic Detail,9
Glycine,5,C,Network Completeness,8
Glycine,5,C,Prebiotic Plausibility,9
