Molecule,Run,Rank,Config,Total Score,Key Differentiator
Glycine,4,6,no_research,20/70,"Contains fundamental, fatal errors in organic chemistry stoichiometry and mechanism."
Glycine,5,1,deep_research_claude,62/70,"Flawless chemical accuracy, realistic environmental scaling (e.g., eutectic freezing), and deep literature backing."
Glycine,5,2,deep_research_gemini,54/70,"Highly novel pathways (oxyglycolate), but penalized for assigning cryogenic ISM chemistry to terrestrial atmospheres."
Glycine,5,3,deep_research_gpt5.4,53/70,"Great use of direct mineral coupling and radical chemistry, but shares Config B's environmental classification errors."
Glycine,5,4,ms_disc,44/70,Broke pathway coherence by relying on an unsynthesized complex amino acid (serine) to make a simple one.
Glycine,5,5,perfect_rag,41/70,"Failed the bottom-up premise entirely, offering a top-down degradation network of complex biomolecules instead."
Glycine,5,6,no_research,36/70,Invalidated by severe chemical hallucinations and impossible mass/carbon balance errors.
Histidine,1,1,Config A,65,Expert-level chemical intuition; perfectly isolates validated routes from false hubs.
Histidine,1,2,Config C,57,Highly literature-accurate; excellent handling of intermediate dehydration/oxidation steps.
Histidine,1,3,Config B,37,Hallucinates chemical conversions between purine precursors and histidine sidechains.
Histidine,1,4,Config D,35,Relies on impossible direct C4-alkylation of unactivated imidazole rings.
Histidine,1,5,Config F,19,Fails basic carbon mass-balance math (C3 + C2 ≠ C6) for its central reaction.
Histidine,1,6,Config E,N/A,*Not Provided*
Histidine,2,1,deep_research_claude,67/70,Flawless chemistry; realistically maps non-producing pathways as dead-ends rather than forcing false convergences.
Histidine,2,2,deep_research_gpt5.4,52/70,"Highly accurate to the nuanced Shen-Oró literature, but suffers from a C2+C3=C4 stoichiometric error and a broken topological link."
Histidine,2,3,deep_research_gemini,39/70,Correctly identifies starting pathways but forces impossible chemical transformations to make unrelated hubs converge.
Histidine,2,4,ms_disc,31/70,"Fails basic functional group chemistry (e.g., claiming Strecker synthesis produces alpha-keto acids)."
Histidine,2,5,no_research,20/70,"Plagued by massive stoichiometric failures; regularly hallucinates carbon atoms to make equations ""work."""
Histidine,3,1,deep_research_claude,64,Flawless mass balances and strict adherence to verified literature (Shen route).
Histidine,3,2,deep_research_gpt5.4,49,"Solid representation of the intermediate stages, marred only by minor C2/C3 mass balance errors."
Histidine,3,3,deep_research_gemini,35,Good environmental design but completely skips C-C bond formations (treating C2 as C5).
Histidine,3,4,ms_disc,29,Fundamentally misunderstands Strecker chemistry and invents carbon atoms in hydrothermal steps.
Histidine,3,5,no_research,23,Near-total disregard for the law of conservation of mass across almost all proposed reactions.
Histidine,4,1,deep_research_claude,59/70,Unbroken pathways; recognizes the chemical impossibility of functionalizing bare imidazoles.
Histidine,4,2,deep_research_gpt5.4,54/70,"Brilliant mechanistic detail on intermediate dehydrations, but suffers from broken subgraphs."
Histidine,4,3,deep_research_gemini,43/70,"Good environmental transitions, but hallucinates chemical bridges to force network convergence."
Histidine,4,4,ms_disc,39/70,Chemically implausible; relies on magic single-step condensations to build the side-chain.
Histidine,4,5,no_research,25/70,Complete chemical breakdown; confuses reduction with dehydration and misunderstands molecular structures.
Histidine,5,1,deep_research_claude,64/70,Structural brilliance: explicitly maps non-productive pathways as dead-end hubs rather than hallucinating convergence.
Histidine,5,2,deep_research_gpt5.4,62/70,Mechanistic precision: correctly identifies the intermediate glycol/ethanol structures and necessary dehydration steps.
Histidine,5,3,ms_disc,34/70,"Matches carbon counts for its hubs, but hallucinates redox states and misidentifies classic mechanisms (Strecker)."
Histidine,5,4,deep_research_gemini,32/70,"Fails basic mass balance, inventing ways to turn C3 molecules into C5 molecules without carbon sources."
Histidine,5,5,no_research,16/70,Mathematically impossible chemistry (C2 + C3 = C6) and completely fabricated ring-closure mechanisms.
Histidine,5,6,N/A,N/A,*(Config E was not provided)*
L-Alanine,1,1,deep_research_gpt5.4,62/70,"Phenomenal integration of highly novel, cutting-edge 2023/2024 literature."
L-Alanine,1,2,deep_research_gemini,58/70,Explicitly addresses the target's stereochemistry (L-Alanine) via mineral chiral selection.
L-Alanine,1,3,deep_research_claude,54/70,"Solid baseline network, but suffers from minor simplifications of complex HCN chemistry."
L-Alanine,1,4,perfect_rag,39/70,Contains a fundamental error regarding $\alpha$-hydroxy acids undergoing Strecker synthesis.
L-Alanine,1,5,no_research,35/70,"Uses the wrong precursor aldehyde, accidentally synthesizing a Serine precursor instead of Alanine."
L-Alanine,1,6,ms_disc,28/70,Riddled with severe organic chemistry hallucinations and mass-balance violations.
L-Alanine,2,1,deep_research_gpt5.4,67/70,Extraordinary chemical precision combined with the integration of cutting-edge 2023-2024 literature.
L-Alanine,2,2,deep_research_gemini,59/70,"Highly reliable, chemically flawless mapping of consensus prebiotic pathways."
L-Alanine,2,3,deep_research_claude,50/70,"Good structural framework, but dragged down by a critical error regarding serine decarboxylation."
L-Alanine,2,4,perfect_rag,48/70,Strong hydrothermal pathways offset by an impossible Strecker synthesis on lactic acid.
L-Alanine,2,5,ms_disc,39/70,"Severe organic chemistry errors, confusing formose products and transamination mechanisms."
L-Alanine,2,6,no_research,31/70,"Fundamentally misunderstands Strecker chemistry, matching entirely wrong precursors to the target molecule."
L-Alanine,3,1,deep_research_gpt5.4,66,Unmatched integration of bleeding-edge (2023-2024) proto-metabolic literature with flawless mechanistic logic.
L-Alanine,3,2,perfect_rag,65,"Exceptional scientific rigor; captures exact experimental nuances (e.g., hydroxylamine usage) and perfectly models metabolism-first theories."
L-Alanine,3,3,deep_research_claude,61,"A highly robust, well-rounded network that successfully balances classical hypotheses with modern discoveries."
L-Alanine,3,4,deep_research_gemini,56,"Solid and canonical, but relies heavily on textbook chemistry and uses exogenous meteorite delivery as a crutch."
L-Alanine,3,5,ms_disc,50,Introduces creative routes but suffers from a significant chemical error (assuming formose directly yields acetaldehyde without reduction).
L-Alanine,3,6,no_research,30,Fatally flawed by basic organic chemistry errors (forming alanine precursors from hydroxylated sugars).
L-Alanine,4,1,deep_research_gpt5.4,68/70,"Flawless integration of 2023-2024 literature, introducing proto-enzymatic transamination and formamide stabilization."
L-Alanine,4,2,perfect_rag,65/70,"Unparalleled rigor in modeling proto-metabolism; brilliant use of specific experimentally validated catalysts and reagents (hydroxylamine, awaruite)."
L-Alanine,4,3,deep_research_claude,63/70,Highly comprehensive and ambitious; successfully incorporates advanced pathways like Bucherer-Bergs and reverse TCA.
L-Alanine,4,4,deep_research_gemini,60/70,"A very solid, highly plausible compilation of classic and widely accepted prebiotic pathways, including chiral selection."
L-Alanine,4,5,ms_disc,45/70,Features novel ideas (phosphoro-Strecker) but suffers from fundamental misunderstandings of cyanosulfidic and Cannizzaro mechanisms.
L-Alanine,4,6,no_research,22/70,Fatally flawed by basic stoichiometric and chemical impossibilities regarding carbon counting in Strecker additions.
L-Alanine,5,1,deep_research_gpt5.4,65,"Leverages highly modern (2023-2024) literature, introducing native metal catalysis and proto-biochemical transamination with exceptional rigor."
L-Alanine,5,2,deep_research_gemini,59,"Extremely solid integration of classical and systems chemistry, enhanced by realistic chiral selection and exogenous delivery routes."
L-Alanine,5,3,ms_disc,57,"Introduces highly creative, well-supported novel pathways (Phosphoro-Strecker, Cannizzaro) but stumbles slightly on biochemical nomenclature/reductants."
L-Alanine,5,4,deep_research_claude,49,"Good conceptual breadth, but suffers from aggregated steps and poor stoichiometry/mass-balance mapping in the network graph."
L-Alanine,5,5,perfect_rag,43,Features a broken topological network (empty outputs) and proposes a chemically impossible Strecker reaction from lactic acid.
L-Alanine,5,6,no_research,35,"Contains a fatal organic chemistry flaw, inadvertently proposing a pathway to serine rather than the target molecule, L-Alanine."
L-Proline,1,1,Config A,63/70,"Successfully integrates multiple, highly diverse paradigms (TCA, cyanosulfidic, Strecker) while maintaining strict chemical accuracy and introducing chiral amplification."
L-Proline,1,2,Config E,58/70,"Flawlessly executes the complex cyanosulfidic synthesis pathway atom-by-atom, but lacks the topological diversity of a true multi-paradigm network."
L-Proline,1,3,Config C,50/70,"Features a strong, chemically accurate hydrothermal core, but suffers from carbon-counting errors in its surface astrochemical pathways."
L-Proline,1,4,Config B,41/70,"Brilliant conceptual design linking RNA-world and metabolism-first models, completely undone by severe stoichiometric and redox mechanism errors."
L-Proline,1,5,Config D,24/70,"Proposes physically impossible ring closures (e.g., from betaine) to reach the target molecule, masking chemical impossibilities as ""speculation."""
L-Proline,1,6,Config F,18/70,"A total hallucination of organic chemistry, proposing C2 $\rightarrow$ C5 leaps and performing Strecker reactions on aromatic rings without proper functional groups."
L-Proline,2,1,perfect_rag,66/70,"Flawless chemical accuracy replicating a highly complex, experimentally verified cyanosulfidic 5-step pathway."
L-Proline,2,2,deep_research_gpt5.4,56/70,"Excellent integration of very recent literature across astrochemical ice, hydrothermal, and wet-dry environments."
L-Proline,2,3,deep_research_claude,43/70,Good conceptual flow but relies on thermodynamically difficult reductions and incorrectly applies Strecker chemistry.
L-Proline,2,4,deep_research_gemini,32/70,Strong environmental modeling ruined by a fatal inability to distinguish between chemical oxidation and reduction.
L-Proline,2,5,ms_disc,18/70,Fails basic molecular topology; incorrectly assumes molecules like betaine can magically rearrange into proline rings.
L-Proline,2,6,no_research,13/70,"Complete failure of mass balance and carbon counting (e.g., C2 converting to C5 with no carbon source)."
L-Proline,3,1,perfect_rag,63/70,Flawless carbon tracking and exact replication of complex literature pathways.
L-Proline,3,2,deep_research_gemini,59/70,"Brilliant Strecker-imine chemistry, only held back by a redox terminology error."
L-Proline,3,3,deep_research_claude,40/70,"Plausible hydrothermal paths, but broken by a stoichiometrically invalid Strecker route."
L-Proline,3,4,deep_research_gpt5.4,32/70,Ruined by proposing an impossible C4 → C5 transformation under basic UV conditions.
L-Proline,3,5,ms_disc,23/70,"Generative hallucination resulting in massive carbon counting errors (C2 → C5, C4 → C5)."
L-Proline,3,6,no_research,14/70,"Total disregard for stoichiometry; magic carbon additions via ""photochemistry""."
L-Proline,4,1,perfect_rag,62/70,Exceptional mechanistic precision; flawlessly models a complex C4 \u2192 C5 ring expansion via thione-to-nitrile exchange.
L-Proline,4,2,deep_research_claude,54/70,"A robust, highly coherent network combining hydrothermal TCA analogs and cyanosulfidic chemistry with minimal structural errors."
L-Proline,4,3,deep_research_gemini,52/70,"Features a highly creative and chemically elegant `1-pyrroline + HCN` Strecker-addition pathway, despite a few stoichiometry flaws."
L-Proline,4,4,deep_research_gpt5.4,39/70,"Utilizes interesting environments (UV ices), but is severely handicapped by a C4 \u2192 C5 mass balance error in a primary hub."
L-Proline,4,5,no_research,24/70,"Plagued by multiple massive stoichiometric errors (C2 \u2192 C5, C3 \u2192 C5) that invalidate most of the network."
L-Proline,4,6,ms_disc,18/70,"The worst offender for impossible chemistry; proposes that N,N,N-trimethylglycine (betaine) cyclizes to form a proline carbon backbone."
L-Proline,5,1,deep_research_gemini,62/70,Masterfully integrates metabolism-first and systems-chemistry paradigms into a highly coherent web.
L-Proline,5,2,deep_research_claude,58/70,"Great pathway diversity and unique inclusion of chiral amplification, hindered slightly by a DAMN/acetic acid stoichiometric error."
L-Proline,5,3,perfect_rag,55/70,"Mechanistically flawless, but penalized heavily for lacking genuine network redundancy (a single linear path disguised as many)."
L-Proline,5,4,deep_research_gpt5.4,50/70,"Conceptually creative with astrochemical ice routes, but suffers from carbon-counting errors and wrong ring sizes."
L-Proline,5,5,ms_disc,34/70,"Honest about its speculative steps, but relies on chemically impossible transformations (e.g., betaine cyclization)."
L-Proline,5,6,no_research,26/70,Complete failure of basic chemical principles; hallucinates mass conservation and misapplies textbook reaction mechanisms.
Serine,1,1,deep_research_claude,61/70,Flawless mass balance/regiochemistry; excellent integration of cutting-edge literature.
Serine,1,2,deep_research_gpt5.4,59/70,Highly coherent cyanosulfidic network with unique bisulfite trapping; only marred by one missing input.
Serine,1,3,perfect_rag,41/70,Graph errors (missing reactants) but features brilliant use of iron-catalyzed TCA and Schiff base chemistry.
Serine,1,4,deep_research_gemini,41/70,Great environmental diversity but contains a fatal mass-balance error in the main Strecker pathway (C3 + C1 ≠ C3).
Serine,1,5,no_research,36/70,Suffers from fundamental regiochemistry (generates isoserine) and redox (generates serinal) errors.
Serine,1,6,ms_disc,34/70,"Fundamental biochemical failures, notably confusing pyruvate/alanine with hydroxypyruvate/serine."
Serine,2,1,deep_research_gpt5.4,61/70,"Flawless chemical accuracy with explicit, literature-backed mechanisms (bisulfite/formamide)."
Serine,2,2,deep_research_claude,47/70,"Good literature backing and chemical logic, but suffers from broken network links and dead ends."
Serine,2,3,deep_research_gemini,46/70,"Highly creative topology, but relies on an implausible abiotic isomerization of isoserine to serine."
Serine,2,4,perfect_rag,40/70,"Good topological convergence, but hallucinates impossible reactions and incorrectly enforces homochirality."
Serine,2,5,no_research,37/70,Fundamentally misunderstands regiochemistry in cyanohydrin and transamination reactions.
Serine,2,6,ms_disc,36/70,"Catastrophically confuses pyruvate with hydroxypyruvate, breaking the entire stoichiometric logic of the network."
Serine,3,1,deep_research_gpt5.4,60,Chemically flawless organic mechanisms; excellent use of advanced literature.
Serine,3,2,deep_research_claude,50,"Broad and creative, though slightly hindered by a phantom sulfur atom in one reaction."
Serine,3,3,deep_research_gemini,40,"Highly creative literature use, but suffers from a C3+C1=C3 mass balance error."
Serine,3,4,no_research,38,"Sound Strecker pathways, but fails on the redox requirements for transamination."
Serine,3,5,ms_disc,38,Confuses pyruvate (alanine precursor) with hydroxypyruvate (serine precursor).
Serine,3,6,perfect_rag,32,Severe textbook organic errors (Cannizzaro misuse) and unwarranted claims of homochirality.
Serine,4,1,deep_research_gpt5.4,61,Outstanding adherence to peer-reviewed literature with no fundamental chemical errors; highly sophisticated use of bisulfite protection.
Serine,4,2,deep_research_claude,59,"Very robust and well-researched, utilizing modern formamide and formaldimine pathways, with only minor nomenclature flaws."
Serine,4,3,perfect_rag,44,"Features an excellent, chemically accurate N-methylene glycine pathway, but is dragged down by a blatant Cannizzaro reaction error."
Serine,4,4,deep_research_gemini,33,"Proposes novel concepts (thiophosphate, mechanochemistry) but fails basic carbon mass-balance (Strecker on 3C yielding 3C)."
Serine,4,6,ms_disc,27,"Riddled with foundational organic chemistry errors, proposing aldol condensations between molecules lacking enolizable alpha-protons."
Serine,5,1,deep_research_gpt5.4,64/70,"Perfect carbon tracking, flawless mechanism logic, and highly novel stabilization chemistry (bisulfite)."
Serine,5,2,deep_research_claude,55/70,"Strong, accurate network utilizing correct keto-acids (hydroxypyruvate), marred only by a flawed pyruvate-impact reaction."
Serine,5,3,no_research,38/70,"Contains a functional primary Strecker pathway, but secondary pathways fail due to regiochemical isomer errors."
Serine,5,4,deep_research_gemini,36/70,"Proposes novel concepts, but suffers a fatal stoichiometric failure in its primary pathway (Strecker on a C3 aldehyde)."
Serine,5,5,ms_disc,27/70,"Fundamentally misunderstands functional groups, incorrectly claiming pyruvate transamination yields serine."
Serine,5,6,perfect_rag,19/70,"Hallucinates impossible chemistry, violating basic laws of mass conservation and organic reaction mechanisms."
Threonine,1,1,deep_research_claude,60/70,Highly accurate organic chemistry; correctly identifies the 3 true prebiotic precursors to threonine.
Threonine,1,2,perfect_rag,44/70,"Contains a pristine cyanosulfidic pathway, though offset by a structurally flawed aldol pathway."
Threonine,1,3,deep_research_gpt5.4,38/70,Identifies the correct Strecker precursor (lactaldehyde) but suffers from severe typos and mass-balance errors in alternative routes.
Threonine,1,4,deep_research_gemini,32/70,Chemically invalid target synthesis (Strecker on a C4 sugar does not yield a C4 amino acid).
Threonine,1,5,ms_disc,23/70,Complete disregard for carbon counting (C2 $\alpha$-keto acids yielding C4 amino acids).
Threonine,1,6,no_research,22/70,Fails elementary stoichiometry (proposing 2C + 2C = 3C reactions).
Threonine,2,1,Config A,63/70,The only network with strict adherence to organic chemistry rules and structural mass-balance.
Threonine,2,2,Config E,44/70,"Features one correct pathway (lactaldehyde Strecker), though fails on its aldol regiochemistry."
Threonine,2,3,Config C,39/70,Contains the correct Strecker pathway but fails massively on AMN stoichiometry.
Threonine,2,4,Config F,30/70,Plausible environmental setups ruined by basic C2+C2=C3 math errors.
Threonine,2,5,Config B,28/70,Fails stoichiometry (C4+C1=C4) and uses anachronistic catalysts (Mg.porphin).
Threonine,2,6,Config D,22/70,Every proposed pathway to threonine is stoichiometrically impossible (C2 Strecker).
Threonine,3,1,deep_research_claude,59/70,The only config to deploy the correct aldol regiochemistry (Akabori) and the correct cyanosulfidic precursor (lactaldehyde) simultaneously.
Threonine,3,2,perfect_rag,47/70,"Perfect execution of the cyanosulfidic pathway, but penalized for the alanine + formaldehyde aldol trap yielding $\alpha$-methylserine instead of threonine."
Threonine,3,3,deep_research_gpt5.4,41/70,"Introduced a brilliant, deep-cut reagent (AMN), but paired it with the wrong aldehyde (C3 instead of C2), breaking the carbon math."
Threonine,3,4,deep_research_gemini,32/70,Failed basic stoichiometry (adding C1+C2 to make C4; Strecker on C4 to make C4).
Threonine,3,5,ms_disc,28/70,Severe carbon sum errors (Strecker on C2 making C4; C5 dehydration to C4).
Threonine,3,6,no_research,24/70,The worst stoichiometry of the set (C2+C2=C3; Strecker on C4 making C4).
Threonine,4,1,deep_research_claude,62,"Perfect carbon math, accurate regiochemistry, and meticulous adherence to the primary literature."
Threonine,4,2,perfect_rag,41,"Has correct math, but fails on regiochemistry for the aldol route (producing an isomer instead of the target)."
Threonine,4,3,deep_research_gpt5.4,36,"Contains mass balance errors, but manages to preserve at least one chemically valid, balanced sequence."
Threonine,4,4,ms_disc,34,"Uses real prebiotic reactions but applies them to the wrong target, failing mass balance (C3/C5 instead of C4)."
Threonine,4,5,no_research,28,"Systematically fails basic arithmetic (e.g., C2 + C2 = C3) on almost every precursor pathway."
